,datatype,station,attributes,value
2023-01-08T00:00:00,TMAX,GHCND:CIM00085574,",,S,",317
2023-01-08T00:00:00,TMAX,GHCND:CIM00085577,",,S,",317
2023-01-08T00:00:00,TMAX,GHCND:CIM00085682,",,S,",219
2023-01-08T00:00:00,TMAX,GHCND:CIM00085864,",,S,",214
2023-01-09T00:00:00,TMAX,GHCND:CI000085469,",,S,",277
2023-01-09T00:00:00,TMAX,GHCND:CI000085488,",,S,",218
2023-01-09T00:00:00,TMAX,GHCND:CI000085629,",,S,",343
2023-01-09T00:00:00,TMAX,GHCND:CI000085743,",,S,",301
2023-01-09T00:00:00,TMAX,GHCND:CI000085799,",,S,",276
2023-01-09T00:00:00,TMAX,GHCND:CI000085874,",,S,",226
2023-01-09T00:00:00,TMAX,GHCND:CI000085934,",,S,",184
2023-01-09T00:00:00,TMAX,GHCND:CIM00085574,",,S,",315
2023-01-09T00:00:00,TMAX,GHCND:CIM00085577,",,S,",314
2023-01-09T00:00:00,TMAX,GHCND:CIM00085766,",,S,",279
2023-01-09T00:00:00,TMAX,GHCND:CIM00085782,",,S,",314
2023-01-09T00:00:00,TMAX,GHCND:CIM00085864,",,S,",216
2023-01-10T00:00:00,TMAX,GHCND:CI000085469,",,S,",277
2023-01-11T00:00:00,TMAX,GHCND:CI000085488,",,S,",220
2023-01-11T00:00:00,TMAX,GHCND:CI000085629,",,S,",295
2023-01-11T00:00:00,TMAX,GHCND:CI000085799,",,S,",154
2023-01-11T00:00:00,TMAX,GHCND:CIM00085418,",,S,",260
2023-01-11T00:00:00,TMAX,GHCND:CIM00085766,",,S,",203
2023-01-11T00:00:00,TMAX,GHCND:CIM00085782,",,S,",189
2023-01-12T00:00:00,TMAX,GHCND:CI000085469,",,S,",270
2023-01-13T00:00:00,TMAX,GHCND:CI000085488,",,S,",212
2023-01-13T00:00:00,TMAX,GHCND:CI000085799,",,S,",170
2023-01-13T00:00:00,TMAX,GHCND:CI000085874,",,S,",178
2023-01-13T00:00:00,TMAX,GHCND:CI000085934,",,S,",192
